filename,width,height,class,xmin,ymin,xmax,ymax
train_15773237164.jpg,300,300,stop sign,169,101,195,155
train_157732087828.jpg,300,300,stop sign,105,159,140,227
train_157732168222.jpg,300,300,stop sign,98,164,146,260
train_157732301110.jpg,300,300,stop sign,175,101,205,166
train_157732168214.jpg,300,300,stop sign,69,169,103,230
train_157732168260.jpg,300,300,stop sign,149,155,190,241
train_157732168228.jpg,300,300,stop sign,143,164,184,249
train_15773202424.jpg,300,300,stop sign,165,167,206,246
train_157732087811.jpg,300,300,stop sign,72,155,124,268
train_157732168257.jpg,300,300,stop sign,78,166,118,240
train_157732301124.jpg,300,300,stop sign,233,103,265,166
train_157732168261.jpg,300,300,stop sign,129,152,180,251
train_157731992114.jpg,300,300,stop sign,98,166,158,296
train_157732168253.jpg,300,300,stop sign,104,164,139,233
train_157732024227.jpg,300,300,stop sign,187,163,228,246
train_157732168217.jpg,300,300,stop sign,114,166,137,212
train_157732301130.jpg,300,300,stop sign,172,103,193,150
train_15773237163.jpg,300,300,stop sign,150,100,181,162
train_15773237165.jpg,300,300,stop sign,185,94,215,158
train_157732067111.jpg,300,300,stop sign,127,159,173,262
train_157732301118.jpg,300,300,stop sign,107,105,132,156
train_157732024230.jpg,300,300,stop sign,93,166,128,238
train_157732301115.jpg,300,300,stop sign,216,100,254,179
train_157732168280.jpg,300,300,stop sign,127,160,149,209
train_157732371636.jpg,300,300,stop sign,218,200,239,243
train_157732024237.jpg,300,300,stop sign,86,159,124,238
train_157732168223.jpg,300,300,stop sign,146,162,189,252
train_157732168268.jpg,300,300,stop sign,48,159,70,200
train_157732371611.jpg,300,300,stop sign,148,82,181,156
train_157732087826.jpg,300,300,stop sign,130,156,161,223
train_15773206713.jpg,300,300,stop sign,23,162,58,235
train_15773227731.jpg,300,300,stop sign,210,102,232,144
train_6.jpg,300,300,stop sign,231,156,289,267
train_157732168216.jpg,300,300,stop sign,118,170,139,215
train_15773199215.jpg,300,300,stop sign,119,160,189,300
train_157732168279.jpg,300,300,stop sign,67,163,90,211
train_157732168270.jpg,300,300,stop sign,78,159,97,201
train_157732024231.jpg,300,300,stop sign,167,163,189,209
train_157732168232.jpg,300,300,stop sign,44,162,80,237
train_157732168263.jpg,300,300,stop sign,158,160,193,230
train_157732024226.jpg,300,300,stop sign,227,162,287,279
train_157732371633.jpg,300,300,stop sign,157,204,179,251
train_157732024228.jpg,300,300,stop sign,182,162,211,219
